epi_weeks,cases,avg_temp,avg_humid
438,2,17.1596637143,66.690369
439,1,19.2039217143,62.8940945714
440,0,21.5618245714,66.6646702857
441,2,18.7053621429,69.295999
442,2,18.8613448571,60.0575875714
443,1,20.1260501429,63.2529767143
444,0,18.767227,64.4180032857
445,0,18.7515478571,64.437556
446,0,19.129412,63.8385868571
447,0,19.9663862857,62.9725124286
448,0,20.1408962857,56.9453668571
449,0,21.3039218571,59.7348715714
450,0,21.5210082857,55.6302865714
451,0,19.8535015714,57.5972291429
452,0,19.2619042857,59.3454031429
453,0,18.5537945714,54.3091338571
454,0,22.4537817143,51.226897
455,2,23.4691875714,57.5004927143
456,0,21.265406,69.0223528571
457,0,21.7739495714,74.9986285714
458,0,24.1365548571,68.9185848571
459,0,25.029412,57.6329128571
460,1,23.9177171429,60.9750738571
461,1,23.5084032857,68.5430292857
462,0,20.5756302857,77.0345925714
463,0,22.2703082857,69.7560957143
464,0,22.3114495714,78.336124
465,0,22.5191407143,72.8165285714
466,0,22.8804268571,77.8445528571
467,0,23.285714,79.9800725714
468,0,21.772549,83.4048386667
469,0,21.921568,85.3505775
470,1,20.3415036667,90.6906413333
471,0,21.9731092857,88.3807742857
472,0,21.7016805714,89.5748041429
473,0,22.7142857143,78.7611492857
474,1,21.2857142857,93.1457474286
475,0,23.5,74.6444375714
476,1,22.8571428571,79.5798778571
477,1,21.7941176471,85.09513
478,0,24.2689075714,73.5648905714
479,1,23.962962963,70.4161414815
480,1,23.1296296296,78.3835018519
481,4,22.72,73.3652404
482,11,25.2226892857,58.7231175714
483,33,24.89882344,56.77042752
484,53,24.5714287143,61.3822124286
485,86,22.9747897143,72.1067662857
486,82,22.4705885714,66.1555124286
487,67,22.4201677143,68.9673728571
488,66,19.72,73.31531776
489,29,20.8682352,67.81735836
490,27,19.2100841429,62.6718122857
491,25,19.3050109259,66.989443
492,11,18.625,69.7616470833
493,1,16.1098571429,74.6406428571
494,3,18.9313285714,78.5687142857
495,4,16.1428571429,70.8830712857
496,6,17.7142857143,65.4322764286
497,1,15.6428571429,60.0012557143
498,7,18.7831714286,68.1482428571
499,2,18.1010285714,78.6922571429
500,4,18.0335428571,80.3122142857
