epi_weeks,cases,avg_temp,avg_humid
477,39,26.83853665,76.6196073
478,45,26.175552963,77.4022522222
479,63,25.967376375,80.6247953333
480,76,24.35372876,83.9766332
481,79,24.6315754,78.8907696
482,105,27.2893772308,67.7115607692
483,138,24.97999984,77.48724496
484,170,23.0204081429,79.4899491429
485,189,22.9693874286,79.8380042857
486,176,23.0,71.0559525714
487,225,22.2513231481,74.0937740741
488,262,24.1493505,70.9034558182
489,245,21.779761625,76.1600501667
490,250,18.9031135769,67.9167385
491,266,20.72449,68.8756551429
492,227,18.6280422222,85.1144837037
493,175,15.6670285714,77.0633285714
494,190,18.1286571429,82.1165571429
495,149,18.0208331667,61.923935875
496,122,19.99999976,60.26347992
497,87,18.60571424,54.8336962
498,84,18.2128714286,72.8300428571
499,78,16.5450857143,83.3522571429
500,38,17.778757142899998,75.7666714286
501,66,16.8279714286,77.3684285714
502,49,19.3210142857,73.2792142857
503,43,19.2506714286,78.1048428571
504,66,19.6312285714,69.6512
505,56,17.0339428571,84.9305142857
506,63,20.8543714286,75.8237571429
507,97,20.3491285714,70.3861142857
508,130,22.3539285714,65.5940142857
509,79,22.0281714286,75.4901857143
510,106,22.2261285714,82.5777714286
511,110,21.5295571429,83.5508714286
512,127,20.2039857143,84.9546142857
513,162,21.7738285714,80.4543714286
514,122,22.4723428571,82.3753857143
515,148,21.1767142857,70.569
516,143,26.5000285714,66.2021285714
517,214,22.3581428571,85.6158285714
518,246,21.8582142857,82.4280428571
519,259,23.4274285714,84.2585
520,267,21.9651714286,79.6228571429
521,178,22.7460428571,78.3006142857
522,139,23.1295857143,79.6710714286
523,1504,20.7774571429,86.8159714286
524,1112,23.7803285714,80.5149142857
525,1268,24.296814285700002,81.8358142857
526,1239,20.4292571429,86.3400714286
527,1241,22.0025714286,83.6390714286
528,1388,22.7444571429,80.2598142857
529,1181,22.8286,81.7753
530,1435,22.2871428571,86.6052
531,1607,23.5173428571,82.7357857143
532,1116,22.8804285714,82.4174571429
533,734,23.9649,79.8621285714
534,653,23.6105285714,83.7371285714
535,607,19.9406714286,91.4698142857
536,900,21.8669285714,80.0790428571
537,618,21.3715571429,81.3279428571
538,445,20.7790428571,78.8819428571
539,400,21.1623285714,72.4651285714
540,379,23.1816285714,67.5612142857
541,264,22.0143142857,65.7776571429
542,292,21.3652714286,71.5048571429
543,274,20.4157285714,77.1975714286
544,137,16.4304428571,84.3126571429
545,136,17.1702285714,80.4000428571
546,121,18.0012428571,67.9912571429
547,83,17.8802428571,64.5634571429
548,70,19.0763714286,72.416
549,55,16.9009285714,80.0247142857
550,63,18.3078428571,83.4647142857
551,54,16.9985285714,79.9241428571
552,43,16.7726142857,70.7784428571
553,79,17.3640571429,74.8121857143
554,91,19.1745857143,68.3479714286
555,46,15.7371,69.7544
556,66,20.7580428571,58.6223142857
557,42,15.6287857143,75.5097
558,65,20.9004571429,71.2168571429
559,68,23.3246,53.1545
560,63,19.7298,77.4418714286
561,64,22.9001428571,68.3804714286
562,64,20.6040857143,74.3572142857
563,44,20.471242857100002,78.5995
564,56,20.2631428571,80.0628285714
565,90,21.4005571429,84.7167142857
566,62,19.3713142857,83.9193428571
